IF669BIN;MODELADO Y SIMULACION;4;EEEP
IF482AIN;PLANEAMIENTO Y DIRECCION ESTRATEGICA DE TECNOLOGIA DE INFORMACION;3;OEES
IF482BIN;PLANEAMIENTO Y DIRECCION ESTRATEGICA DE TECNOLOGIA DE INFORMACION;3;OEES
IF710AIN;SEMINARIO DE INVESTIGACION I;3;OEES
IF710BIN;SEMINARIO DE INVESTIGACION I;3;OEES
IF459AIN;COMPUTACION GRAFICA II;4;EEEP
IF459BIN;COMPUTACION GRAFICA II;4;EEEP
IF483AIN;FORMULACION DE PROYECTOS DE TECNOLOGIA DE INFORMACION;3;OEES
IF483BIN;FORMULACION DE PROYECTOS DE TECNOLOGIA DE INFORMACION;3;OEES
IF617AIN;INGENIERIA DE SOFTWARE II;4;EEEP
IF656AIN;PROCESAMIENTO DEL LENGUAJE NATURAL;4;EEEP
IF654AIN;ROBOTICA;4;EEEP
IF657AIN;VISION COMPUTACIONAL;4;EEEP
IF711AIN;SEMINARIO DE INVESTIGACION II;3;OEES
IF711BIN;SEMINARIO DE INVESTIGACION II;3;OEES
